,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
Greenland,0.08952641442350827,0.007130881316278775,3.9032883284392383e-07,0.0733338591674296,0.819455494383286,0.003929222860238278,0.002155955320170726,0.0006638965605077564,0.0023525926429646495,0.0014491521256068988,2.1359196712076896e-06,4.951505086400747e-09
England,0.3356104425644931,0.5600207663110579,0.01983559274412289,0.0005700782001596725,0.012883966266425458,0.0029675943440657855,0.002937645915981984,0.00033900210194198093,0.022041953914750813,0.018540348905673545,0.024148273326901188,0.00010433540442564052
Estonia,0.27090122326739374,0.2538267526719749,0.23689085263587034,0.038948579451223674,4.616857022201036e-05,0.018143817107880364,0.003443734397813646,0.12688577873400322,0.04120487934807379,2.2574906894609432e-05,0.009652103955416928,3.353495323274195e-05
Finland,0.37583881459998586,0.061979837509919096,0.13452933522252322,0.06518077455387018,0.0019804743370476796,0.045633349116289135,0.2966880868668056,0.003344236970949022,0.005102545212037396,0.008825024353056914,0.0008905118595563445,7.009397959623127e-06
France,0.0011476951638558191,0.9008578928811207,0.014200483596300651,0.014136892272500772,0.010747054585757282,0.014689025025282462,0.007030945707965406,0.013888792356466013,0.012822712152957485,0.010093643784007476,0.0003836473962250446,1.2150775606364114e-06
Alsace,0.151927345837024,0.42149802436693296,0.0441177310526032,0.005869083439827503,4.05252506935757e-05,0.01882285159267527,0.0005367443645419899,0.3401876756797749,0.006715663840481188,0.00836430498042347,0.0019096500249602864,1.0399570061780973e-05
Auvergne,0.5804584959571847,0.0857574843944534,0.05772023594223384,0.05294762295716346,0.0001550968072712834,0.02305639140860449,0.0025759133066648645,0.09365929082280981,0.0026138781548557056,0.0008497024427951119,0.10016394469580048,4.194311016290562e-05
Brittany,0.19464121907142592,0.601356794693951,0.056959543830912965,0.05231838716169838,0.0076066018221238015,0.005070270611373894,0.0005016446685009782,0.01061903852751654,0.006995416325965575,0.0472067541988821,0.016721398619067063,2.9304685815577322e-06
Corsica,0.11665936314414597,0.020379597499329157,0.3106956605402621,0.07254958282701975,0.00023283004032880568,0.0413198814508255,0.019384579491816684,0.0017383315616609576,0.09092502921856047,0.08999284866867323,0.23592067492375773,0.0002016206336196123
Flanders-Artois,0.050915535943019403,0.29441308195184485,0.12598661300621075,0.09119484983404645,5.9814000428577665e-05,0.028569661180617996,0.005851501929801301,0.007840383162018856,0.045657121896556276,0.31301154281293847,0.03599015706552007,0.0005097372169971203
