,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
France,9.859064487508686e-06,0.012777771480658987,0.0003722161878084547,0.0003836729926313755,0.00035204718379828635,0.0006502703088460431,0.0004984337318003997,0.0009995935386923527,0.0011418247260924705,0.0011347966129061477,6.890525668278903e-05,1.4942300450779e-05
Alsace,0.002129295988951106,0.009754057283000026,0.0018866712028918402,0.00025987738878169807,2.1658484239488066e-06,0.0013594940198820597,6.208005660276176e-05,0.03994555509170237,0.0009756620856493458,0.0015342313267923751,0.0005595833864833871,0.0002086506676166688
Auvergne,0.014987629622029859,0.0036561456310044657,0.004547501429841887,0.004319230416946145,1.527097977147902e-05,0.0030679262433080255,0.0005488801794049114,0.02026107314721953,0.000699612424599509,0.00028713725748188263,0.05407345803259294,0.0015503391686680008
Brittany,0.0057135818273396175,0.02914711209229581,0.00510179618487682,0.004852059391894051,0.000851464572684736,0.0007670021353051315,0.00012152184712378963,0.002611611855792745,0.0021286173428037066,0.018135881831767526,0.010262594749278226,0.00012314449821832142
Corsica,0.0019465305080622725,0.0005614704302618088,0.015818298539912897,0.003824499939804047,1.4814359895992249e-05,0.003552977675576963,0.0026692086502184886,0.00024300993454470912,0.015726622324369183,0.019652170084231365,0.08230354841919273,0.0048159381105542685
Flanders-Artois,0.0007938328961354818,0.0075792380753962,0.005993577697077135,0.0044920771885358386,3.5561812350719357e-06,0.002295491350119094,0.0007528884776769561,0.0010241553998181542,0.007379003189539773,0.06387045746843134,0.011732037932606867,0.01137704364779078
Ile-de-France,0.00019217412491248393,0.003113534533664948,0.012677922161465625,0.004073568437094152,2.6755541825300646e-06,0.015418677102851894,0.003369530517966427,0.015443869859500822,0.009205155057438385,0.00022305169331477358,0.007874571972292693,0.003962890812266586
Midi-Pyrenees,0.0017618889469165602,0.005725166105195801,0.000822279878725592,0.004533529146453131,2.085622626035167e-05,0.005640464505235465,0.0005771880360773184,0.023694601916118444,0.010547440715932973,0.01742409526356934,0.005853058712799789,0.00684442242124853
Normandy,0.003670861351825599,0.01086011873973682,0.013673340544761582,0.011874148026265992,0.001008563620520166,0.0005956102299151706,0.0003226622846288397,0.0064134211011265254,0.020876021431573674,0.0019523498345337595,0.000324619359981066,0.0009313158055397648
Poitou-Saintonge,5.999572708011783e-06,0.008730382217514094,0.010271550550282295,0.033895209727272696,0.0010874733495606693,0.009657451472617734,6.198532219163353e-05,1.3187188781604059e-06,0.005621028322040101,0.0573228596123203,0.014358682611321104,0.054183675933404556
Provence,0.0013996032213307182,0.003474943713678415,0.0032200088501240756,0.007354202364234384,0.0021112323311047267,0.0011858294408530333,0.0017364222418309338,1.5042201030863225e-05,0.010343557591757776,0.014835599206197645,0.00019127787394164998,0.016358708315392358
Rhone-Alpes,0.0027858668292606516,0.013081336572125669,0.0050789718070940945,0.0032650211674122892,0.006130026911827027,0.001453605165860772,0.0014407014917218633,0.00012924373724574177,0.007033533982039364,0.003002343065869398,0.00034894743573448496,0.004936576985546137
Germany,0.004332969559958835,0.0091888411648606,0.001544462305461682,0.0035875239096855274,0.0037700636216560775,2.7244804808392495e-05,0.0015548184376394589,0.0005434352741314231,0.0029991986806787423,0.00041189371981158445,0.001647961699899095,0.004369103761560163
North Germany,0.010690622340663933,0.014829753969576483,0.00950341237259131,0.025712774093164668,0.007112736171921972,0.001035708038050168,0.003694259960444079,6.95643046716209e-05,0.0020564726385225375,0.04140878142718693,0.0061313640262469155,0.001289265243391753
East Germany,0.007546142891808559,0.004977048250628442,0.002525115336485506,0.009711972085784837,0.005087280672221806,5.9974964586636346e-05,0.009545980592723212,0.000419663267552085,0.003054652650014109,0.0010292575540238598,0.001615240810664776,0.0008804233877640093
West Germany,0.002405828203810763,0.017879200143577367,0.000919967091889403,0.00780915282271899,0.006794691408380376,0.0004738041894123047,0.00024039529337163983,0.0036978126878171,0.01464130495549806,0.031073748982622648,0.006008902680768311,0.0014578290806157605
South Germany,1.122788419981167e-05,0.007060046757554278,0.00022557178137618062,3.6521370695893406e-05,0.0010691046323626247,0.0029277798536415157,1.2395176549419296e-05,0.0017681589501062772,0.01033923808388361,0.006756101571898104,0.001891675192094653,0.020553558163121273
Greece,0.025669871676657498,0.0028739707193293526,0.005986201608860688,0.004049083557772675,5.654564834955925e-06,0.007781519035263517,0.0005735413341209816,0.003970375517488371,0.002252637839057424,0.00044602816958204676,0.00874113135919203,0.005818181201722155
North Greece,0.010642977727471517,0.007788460286476406,0.0005954865061195696,0.0048845551847966065,0.00018040278922145262,0.005698304184109923,0.0010579010776051506,0.008149665120819416,0.008672349046492797,8.472986198626716e-07,0.004135551043039412,0.005885263583171981
