,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
Cyprus,2.72317250328066,-0.735514390115077,-1.4117737504181869,-0.33643062293877307,0.48935395885958527,0.2674967684439887,0.6715499109372663,-0.8221662485517699,1.1544517709680595,0.22860025388579794,-2.3987318701968134,0.06660644069654262
Denmark,-1.38030443896751,1.1676929603912938,-0.8448709083131405,-1.6917836452676855,-0.7665731654989463,0.43675792258737905,1.0060406558022288,-0.6790850420695138,0.4612014668385742,1.099447799234793,-0.18602522833357563,0.3511925436642051
Greenland,-1.5151094270286607,0.5494584359231687,0.005526182263281511,-2.4373603255996312,8.951219823173775,-0.7205558277108536,-0.675430310145098,0.37765349991010616,-0.790764145192739,-0.6973580916786825,0.03383890760742035,0.013481529729549902
England,-0.8456266011913277,1.4036466900610698,0.35910791576466355,0.06194798480085942,-0.32354658862056795,0.18051324359794427,0.227275640432048,-0.07779236927869708,0.6977360234394832,-0.7190354548950374,-1.0371926178035225,0.5641296282694522
Estonia,-1.0175019223465767,-1.2655907406995108,-1.6620549733342649,0.6857639158423916,0.02593905201419315,0.5977780778416322,0.329561781991681,2.0156314672658855,1.2776422824829874,0.03360262380528423,0.8782056417701288,-0.4283322376700241
Finland,-1.7399426181388586,-0.9079337586922309,-1.8183776819633133,1.2879319950394759,0.24664360111232514,1.3763255810735306,4.440955566705673,-0.4750699195021641,-0.6527287455174539,0.9645450528835888,0.3872660598396204,-0.28429984577990214
France,-0.03044260274394777,1.0959518781324045,0.18705165504211596,0.1899085603845948,-0.18191326305973107,-0.2472355335131422,0.21645500869519646,-0.30653187866367365,-0.32761490236662344,-0.32660508509999947,0.08048039592461116,-0.03747767658717955
Alsace,0.4473855417438118,0.957539233975299,-0.4211259824231141,0.15629611174139815,-0.014268488071662947,0.35748068181219755,-0.07639061016027823,1.9377518361802737,0.3028402814208151,-0.3797601147020093,0.2293487264613396,0.1400470019527975
Auvergne,1.186944474047041,0.5862402999746945,-0.6538081786006791,0.6371873030694645,0.03788762460908612,-0.5370149596342307,-0.22714474870456872,1.380051041026612,0.2564440834029006,-0.1642890812053466,2.254529896688828,0.38174845363772214
Brittany,-0.7328551642513846,1.6552427425232246,0.6925090911882826,0.6753470092019662,-0.28290929612221155,-0.2685110811841522,0.10687868650781701,-0.49547100262731625,0.4473142410247503,-1.305669518747431,-0.98218323465235,0.1075898825750926
Corsica,0.4277544479696893,0.22973510929897073,1.2193933174951437,0.5995856855709453,0.03731688398330267,-0.5779099423822318,0.5009047944675095,0.15113879001501454,-1.215854637072501,1.3591556157842077,-2.781462484270481,0.6728284940399755
Flanders-Artois,-0.2731671507277829,0.8440665726631063,0.7505972978403604,0.6498117078988104,-0.018283354071306556,0.4645171545930192,0.2660291655094116,-0.31027505149932133,-0.8328423018895826,2.4502699855388483,1.0501483541219523,1.0341383383727407
Ile-de-France,0.1344037489870483,0.5409919095185298,1.0916614324861755,0.618801610443,0.015858817520793475,1.2038918754057935,-0.5627929181225046,-1.2048750004847297,-0.9302067379885013,-0.1447993755911562,0.8603544417247541,0.6103373955060095
Midi-Pyrenees,0.4069613753295964,0.7335977193860442,0.2780185400296276,0.6528029869467468,0.04427736745192804,-0.7281508521536824,0.23292847698653749,-1.49241166576623,0.9957205568319354,-1.2797909808931762,0.7417462632215819,0.8021070424808411
